Gene_ID	ExprLevel	LogFC	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_1205	17.290050678301	-3.33352163037431	1979771	1.10.3.3	L-ascorbate oxidase.	2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.	Copper.	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC	1980025
gene_1315	128.303885426469	-5.84395858701612	1979882	1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD+).	(5Z,13E)-(15S)-11-alpha,15-dihydroxy-9-oxoprost-13-enoate + NAD(+) = (5Z,13E)-11-alpha-hydroxy-9,15-dioxoprost-13-enoate + NADH.	\N	\N	\N	\N	\N	1980136
gene_1422	4.52230427721439	-2.3434920118161	1979988	2.7.7.53	ATP adenylyltransferase.	ADP + ATP = phosphate + P(1),P(4)-bis(5'-adenosyl)tetraphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	1980242
gene_1567	18.7322539964038	-3.41864682484267	1980135	3.2.1.15	Polygalacturonase.	Random hydrolysis of 1,4-alpha-D-galactosiduronic linkages in pectate and other galacturonans.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1980389
gene_1567	18.7322539964038	-3.41864682484267	1980135	3.2.1.15	Polygalacturonase.	Random hydrolysis of 1,4-alpha-D-galactosiduronic linkages in pectate and other galacturonans.	\N	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC	1980389
gene_1655	45.5975374335021	-2.05283360782477	1980224	1.15.1.1	Superoxide dismutase.	2 peroxide radical + 2 H(+) = O(2) + H(2)O(2).	Copper and Zinc or Iron or Manganese.	\N	\N	\N	\N	1980478
gene_1813	248.905223552872	-4.86915981629409	1980386	3.2.1.14	Chitinase.	Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1980640
gene_186	12.5332785482938	-2.14051224862922	1978749	3.4.22.-	Cysteine endopeptidases.	\N	\N	\N	\N	\N	\N	1979003
gene_1864	33.9297582911383	-2.0956223252833	1980436	1.13.11.27	4-hydroxyphenylpyruvate dioxygenase.	4-hydroxyphenylpyruvate + O(2) = homogentisate + CO(2).	Iron.	Tyrosinemia, type III; MIM:276710.	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1980690
gene_1864	33.9297582911383	-2.0956223252833	1980436	1.13.11.27	4-hydroxyphenylpyruvate dioxygenase.	4-hydroxyphenylpyruvate + O(2) = homogentisate + CO(2).	Iron.	Tyrosinemia, type III; MIM:276710.	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC	1980690
gene_2948	11.0521544548309	-2.74776123693506	1981520	3.2.1.14	Chitinase.	Hydrolysis of the 1,4-beta-linkages of N-acetyl-D-glucosamine polymers of chitin.	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1981774
gene_2960	8.52169301772009	-2.39709752146603	1981532	3.1.26.-	Endoribonucleases producing 5'-phosphomonoesters.	\N	\N	\N	\N	\N	\N	1981786
gene_3292	8.36730575143743	-2.23279363210377	1981863	1.13.11.4	Gentisate 1,2-dioxygenase.	2,5-dihydroxybenzoate + O(2) = maleylpyruvate.	Iron.	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1982117
gene_3427	41.7516363782437	-2.07829861832913	1981998	1.1.1.23	Histidinol dehydrogenase.	L-histidinol + 2 NAD(+) + H(2)O = L-histidine + 2 NADH.	\N	\N	Histidine metabolism	Amino Acid Metabolism	METABOLIC	1982252
gene_3907	16.4178804278501	-2.10366973250594	1982485	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Biotin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1982739
gene_3907	16.4178804278501	-2.10366973250594	1982485	3.4.-.-	Acting on peptide bonds (peptide hydrolases).	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC	1982739
gene_411	284.63951639316	-2.70896465443488	1978972	2.3.1.26	Sterol O-acyltransferase.	Acyl-CoA + cholesterol = CoA + cholesterol ester.	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC	1979226
gene_4432	11.157954517061	-2.06510357953555	1983012	1.3.1.22	Cholestenone 5-alpha-reductase.	5-alpha-cholestan-3-one + NADP(+) = cholest-4-en-3-one + NADPH.	\N	\N	\N	\N	\N	1983266
gene_4544	11.5659250948698	-2.35396656995722	1983125	3.1.-.-	Acting on ester bonds.	\N	\N	\N	\N	\N	\N	1983379
gene_483	4.01644254926451	-3.17518685731284	1979044	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Ethylbenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1979298
gene_483	4.01644254926451	-3.17518685731284	1979044	1.1.-.-	Acting on the CH-OH group of donors.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	1979298
gene_5185	13.8955248656983	-3.34873457563578	1983764	3.4.23.41	Yapsin 1.	Hydrolyzes various precursor proteins with Arg or Lys in P1, and commonly Arg or Lys also in P2. The P3 amino acid is usually non- polar, but otherwise additional basic amino acids are favorable in both non-prime and prime positions.	\N	\N	\N	\N	\N	1984018
gene_5332	2.38524828503647	-2.064062718618	1983907	3.6.1.7	Acylphosphatase.	An acyl phosphate + H(2)O = a fatty acid anion + phosphate.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC	1984161
gene_5332	2.38524828503647	-2.064062718618	1983907	3.6.1.7	Acylphosphatase.	An acyl phosphate + H(2)O = a fatty acid anion + phosphate.	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	1984161
gene_5332	2.38524828503647	-2.064062718618	1983907	3.6.1.7	Acylphosphatase.	An acyl phosphate + H(2)O = a fatty acid anion + phosphate.	\N	\N	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC	1984161
gene_5602	12.4409164586976	-2.43428748892976	1984184	2.7.1.78	Polynucleotide 5'-hydroxyl-kinase.	ATP + 5'-dephospho-DNA = ADP + 5'-phospho-DNA.	\N	\N	\N	\N	\N	1984438
gene_5834	11.5475055025103	-2.4597565047861	1984416	2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase.	S-adenosyl-L-methionine + protein L-beta-aspartate = S-adenosyl-L- homocysteine + protein L-beta-aspartate methyl ester.	\N	\N	\N	\N	\N	1984670
gene_6531	26.6758659717138	-2.73519804857104	1985119	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1985373
gene_6531	26.6758659717138	-2.73519804857104	1985119	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC	1985373
gene_7162	8.74017088168871	-3.4959634063703	1985747	2.4.2.-	Pentosyltransferases.	\N	\N	\N	\N	\N	\N	1986001
gene_7218	7.35475632002077	-2.24293951906417	1985802	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC	1986056
gene_7218	7.35475632002077	-2.24293951906417	1985802	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC	1986056
gene_7218	7.35475632002077	-2.24293951906417	1985802	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	1986056
gene_7218	7.35475632002077	-2.24293951906417	1985802	1.14.-.-	Acting on paired donors, with incorporation or reduction of	\N	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC	1986056
gene_7303	11.9478340384451	-2.97923698754531	1985887	2.1.1.109	Demethylsterigmatocystin 6-O-methyltransferase.	S-adenosyl-L-methionine + 6-demethylsterigmatocystin = S-adenosyl- L-homocysteine + sterigmatocystin.	\N	\N	\N	\N	\N	1986141
gene_7306	11.3913801202336	-4.57184425968234	1985890	2.1.1.109	Demethylsterigmatocystin 6-O-methyltransferase.	S-adenosyl-L-methionine + 6-demethylsterigmatocystin = S-adenosyl- L-homocysteine + sterigmatocystin.	\N	\N	\N	\N	\N	1986144
gene_7307	2.16894165660684	-2.07397488956628	1985891	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Nitorobenzene degradation	Biodegradation of Xenobiotics	METABOLIC	1986145
gene_7307	2.16894165660684	-2.07397488956628	1985891	1.14.13.1	Salicylate 1-monooxygenase.	Salicylate + NADH + O(2) = catechol + NAD(+) + H(2)O + CO(2).	FAD.	\N	Fluorene degradation	Biodegradation of Xenobiotics	METABOLIC	1986145
gene_7312	12.2914840810972	-4.2897263942986	1985896	2.3.1.85	Fatty-acid synthase.	Acetyl-CoA + N malonyl-CoA + 2N NADPH = a long-chain fatty acid + (N+1) CoA + N CO(2) + 2N NADP(+).	\N	\N	Fatty acid biosynthesis (path 1)	Lipid Metabolism	METABOLIC	1986150
gene_7318	13.5787818566864	-2.06857817174044	1985902	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1986156
gene_7318	13.5787818566864	-2.06857817174044	1985902	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).	\N	\N	Glutamate metabolism	Amino Acid Metabolism	METABOLIC	1986156
gene_7318	13.5787818566864	-2.06857817174044	1985902	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).	\N	\N	  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY	1986156
gene_8389	23.8332205479565	-2.69554162317318	1986971	4.1.1.1	Pyruvate decarboxylase.	A 2-oxo acid = an aldehyde + CO(2).	Thiamine pyrophosphate.	\N	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC	1987225
